Encargado,Frec_insultosCasa,ViolenciaCasa,ExistenciaMaltratoPareja,ExistenciaDemaltratoSuegra,MotivoDeJuntarse,EdadJunte,EnojoDePareja,malltrato
padres,NoPaso,Maltrato,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,MuchasVeces,Maltrato,noSabe,no,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,noSabe,amor,entre25a35,ProbEconomicos,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,amor,entre25a35,ProbSocializacion,no
parientes,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,si,amor,menorA25,ProbEconomicos,no
padres,NoPaso,Maltrato,noSabe,si,amor,entre25a35,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,no,amor,entre25a35,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,no,no,amor,entre35y60,ProbAlcoholicos,no
padres,NoPaso,Maltrato,noSabe,noSabe,amor,mayores60,ProbSocializacion,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,entre25a35,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,si
parientes,MuchasVeces,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,si
padres,MuchasVeces,NoOcurrio,si,si,amor,menorA25,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,noSabe,embarazo,entre25a35,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,entre25a35,ProbSentimentales,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,Maltrato,noSabe,si,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,si,amor,menorA25,ProbSentimentales,si
padres,MuchasVeces,Maltrato,si,si,amor,menorA25,ProbSocializacion,si
padres,NoPaso,NoOcurrio,no,si,amor,menorA25,ProbAlcoholicos,no
parientes,pocasVeces,Maltrato,noSabe,noSabe,amor,entre35y60,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,si,amor,menorA25,ProbEconomicos,no
padres,MuchasVeces,Maltrato,noSabe,no,embarazo,mayores60,ProbSentimentales,si
padres,MuchasVeces,Maltrato,noSabe,si,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,Maltrato,noSabe,noSabe,amor,entre25a35,ProbSentimentales,no
padres,MuchasVeces,Maltrato,noSabe,si,amor,entre25a35,ProbAlcoholicos,no
padres,NoPaso,Maltrato,no,no,amor,entre25a35,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
parientes,pocasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbEconomicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,no,noSabe,embarazo,menorA25,ProbSocializacion,no
padres,Norecuerda,NoOcurrio,si,noSabe,amor,entre25a35,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
parientes,NoPaso,Maltrato,si,si,amor,entre35y60,ProbSentimentales,no
padres,pocasVeces,Maltrato,no,si,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,no,amor,mayores60,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,embarazo,menorA25,ProbSentimentales,no
padres,MuchasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,si
padres,Norecuerda,Amenzar,no,si,amor,menorA25,ProbSentimentales,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,Maltrato,noSabe,si,amor,entre25a35,ProbSentimentales,no
padres,pocasVeces,Maltrato,no,no,amor,entre25a35,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,no,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,noSabe,noSabe,amor,menorA25,ProbSocializacion,si
padres,MuchasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,si
padres,MuchasVeces,Maltrato,si,si,presion,menorA25,ProbSocializacion,si
padres,pocasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,no
padres,pocasVeces,Maltrato,si,si,amor,menorA25,ProbSocializacion,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,no,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,no,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,Maltrato,noSabe,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbEconomicos,no
padres,NoPaso,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,no,si,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,si,embarazo,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,no,embarazo,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,no,no,embarazo,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,si,si,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,no,amor,menorA25,ProbEconomicos,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,embarazo,entre25a35,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,presion,menorA25,ProbSocializacion,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbSocializacion,si
padres,pocasVeces,Amenzar,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,noSabe,amor,menorA25,ProbAlcoholicos,si
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
parientes,pocasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,no,embarazo,entre25a35,ProbAlcoholicos,no
padres,MuchasVeces,NoOcurrio,noSabe,si,amor,menorA25,ProbSentimentales,no
parientes,MuchasVeces,Maltrato,si,si,embarazo,mayores60,ProbSentimentales,si
padres,pocasVeces,Maltrato,noSabe,si,embarazo,mayores60,ProbSentimentales,si
padres,pocasVeces,NoOcurrio,noSabe,si,presion,menorA25,ProbEconomicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbSocializacion,no
padres,MuchasVeces,Maltrato,no,noSabe,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,Maltrato,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,no,amor,menorA25,ProbSentimentales,si
padres,pocasVeces,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbSentimentales,no
parientes,pocasVeces,Maltrato,no,si,amor,entre25a35,ProbSentimentales,si
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,MuchasVeces,Maltrato,noSabe,noSabe,embarazo,menorA25,ProbSentimentales,no
